client_id	path	sentence	up_votes	down_votes	age	gender	accent	language	segment
9d65b039d3fb7ee7f3d170b7b98caea8e545d0f1de637d306bb529a3b6a1ab9027f11b3d07a1a3cc7903fc0df877324044eaf5f0e2bbb30e0d20de32e2817daf	common_voice_ar_19090160.mp3	أسرع و إلا فاتتك الطائرة.	2	0	fourties	male		Arabic	
c200828e4036b5b4a5416dad71c63922a90d7d27ef1600dca62871365696f1e29d5b28e3c208da05ac7d910283163def31d84e9dead77b3852a2ffe3cabac389	common_voice_ar_19215944.mp3	أخبرني ، ما الذي حدث ؟	2	0	teens	female		Arabic	
3ed0ada6e07c029a8e33c022429b902ecda77dbb159e19fc06af5af7efb590081b2105a87c4eecf0a68785a396bcd4590fcc175ad7e995a94182ff6b13d26eb7	common_voice_ar_19227120.mp3	متى اخترعت الطباعة ؟	2	0	twenties	male		Arabic	
3ed0ada6e07c029a8e33c022429b902ecda77dbb159e19fc06af5af7efb590081b2105a87c4eecf0a68785a396bcd4590fcc175ad7e995a94182ff6b13d26eb7	common_voice_ar_19227176.mp3	لديها ابنة تعزف على البيانو.	2	0	twenties	male		Arabic	
b268122bc2894380519220337f90df10ce313013fbb6263ed1ad7d16c6bf9b13c3417fb09f3daa86a3f2f7b75cf3cea90eb81d27a30dab100d6d99356c0b9511	common_voice_ar_19232382.mp3	أعطتني هدية.	2	0	thirties	female		Arabic	
9ed6da34926f2e342526b8de5acbe629fd6cc27a64f99d8596c4df100a11874a9f829909bb779c5dbe740c5aec5d5263cebeb10c7e29308b91805d633176a0ea	common_voice_ar_19233446.mp3	طقس اليوم جميل.	2	0	twenties	male		Arabic	
e73ecdb916011a6830041d723a43be97b0e68ae1ab991afae566ae6653e4565a618ccea36fea5db176f720ca30f7c40c66f4ee0168adabbb789576da295bb76f	common_voice_ar_19235723.mp3	هذا الحلم سَيَتَحَقَّقْ.	2	0	twenties	female		Arabic	
3ed0ada6e07c029a8e33c022429b902ecda77dbb159e19fc06af5af7efb590081b2105a87c4eecf0a68785a396bcd4590fcc175ad7e995a94182ff6b13d26eb7	common_voice_ar_19237931.mp3	تعجبنا من تطور المدينة السريع.	3	0	twenties	male		Arabic	
3ed0ada6e07c029a8e33c022429b902ecda77dbb159e19fc06af5af7efb590081b2105a87c4eecf0a68785a396bcd4590fcc175ad7e995a94182ff6b13d26eb7	common_voice_ar_19237934.mp3	تركت بطاقتي في المنزل.	2	0	twenties	male		Arabic	
3ed0ada6e07c029a8e33c022429b902ecda77dbb159e19fc06af5af7efb590081b2105a87c4eecf0a68785a396bcd4590fcc175ad7e995a94182ff6b13d26eb7	common_voice_ar_19237942.mp3	.سأساعدك إن أمكن	2	0	twenties	male		Arabic	
